Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-11-28 13:07:34.003 -0500,"Success",0:00:02,0,0,0,"20221128_130734.003/LogFile.txt","","",1
2023-02-08 14:52:46.887 -0500,"Success",0:00:01,0,0,0,"20230208_145246.887/LogFile.txt","","",1
2023-02-08 15:02:13.820 -0500,"Success",0:00:01,0,0,0,"20230208_150213.820/LogFile.txt","","",1
2023-02-08 15:10:00.539 -0500,"Aborted",0:00:01,0,0,0,"20230208_151000.539/LogFile.txt","","",1
2023-02-09 10:55:37.856 -0500,"Aborted",0:00:01,0,0,0,"20230209_105537.856/LogFile.txt","","",1
2023-02-17 15:35:40.887 -0500,"Success",0:00:01,0,0,0,"20230217_153540.887/LogFile.txt","","",1
